coc_number,year,total_year_round_beds_es,total_year_round_beds_th,total_year_round_beds_sh,total_year_round_beds_psh,total_year_round_beds_rrh,total_year_round_beds_oph,total_seasonal_beds_es,total_overflow_beds_es,total_chronic_homeless_beds_psh
CT-505,2024,1623.0,308.0,28.0,5617.0,1149.0,682.0,0.0,614.0,0.0
DC-500,2024,3505.0,1693.0,20.0,11856.0,10156.0,5842.0,495.0,0.0,9599.0
DE-500,2024,849.0,317.0,0.0,728.0,295.0,311.0,147.0,135.0,507.0
FL-500,2024,440.0,371.0,0.0,388.0,158.0,213.0,0.0,0.0,36.0
FL-501,2024,878.0,53.0,0.0,1156.0,732.0,280.0,0.0,0.0,120.0
FL-502,2024,1480.0,354.0,85.0,1649.0,691.0,187.0,0.0,0.0,552.0
FL-503,2024,469.0,344.0,0.0,71.0,283.0,72.0,0.0,0.0,42.0
FL-504,2024,250.0,232.0,20.0,114.0,100.0,41.0,0.0,0.0,109.0
FL-505,2024,150.0,0.0,0.0,158.0,63.0,0.0,0.0,0.0,0.0
FL-506,2024,580.0,173.0,0.0,442.0,144.0,65.0,0.0,0.0,442.0
FL-507,2024,1280.0,701.0,0.0,1672.0,1062.0,673.0,0.0,0.0,739.0
FL-508,2024,278.0,55.0,0.0,801.0,132.0,175.0,30.0,4.0,351.0
FL-509,2024,152.0,43.0,0.0,294.0,203.0,150.0,0.0,0.0,185.0
FL-510,2024,686.0,473.0,0.0,1019.0,277.0,612.0,0.0,0.0,276.0
FL-511,2024,297.0,304.0,0.0,235.0,180.0,92.0,15.0,0.0,32.0
FL-512,2024,154.0,78.0,0.0,1.0,17.0,60.0,0.0,0.0,0.0
FL-513,2024,81.0,283.0,17.0,328.0,385.0,514.0,0.0,0.0,78.0
FL-514,2024,161.0,104.0,0.0,203.0,146.0,186.0,0.0,70.0,14.0
FL-515,2024,115.0,87.0,0.0,70.0,38.0,5.0,0.0,0.0,70.0
FL-517,2024,0.0,5.0,0.0,60.0,18.0,18.0,0.0,0.0,0.0
FL-518,2024,84.0,27.0,0.0,93.0,64.0,0.0,0.0,8.0,6.0
FL-519,2024,216.0,207.0,0.0,426.0,250.0,511.0,0.0,0.0,14.0
FL-520,2024,108.0,255.0,0.0,161.0,202.0,117.0,0.0,44.0,18.0
FL-600,2024,2488.0,432.0,20.0,4975.0,738.0,367.0,0.0,48.0,3694.0
FL-601,2024,960.0,179.0,0.0,1301.0,266.0,0.0,0.0,0.0,741.0
FL-602,2024,115.0,23.0,0.0,68.0,127.0,0.0,0.0,0.0,3.0
FL-603,2024,336.0,0.0,0.0,340.0,480.0,71.0,0.0,0.0,43.0
FL-604,2024,229.0,132.0,0.0,167.0,13.0,16.0,0.0,0.0,28.0
FL-605,2024,511.0,156.0,0.0,1053.0,582.0,119.0,0.0,0.0,406.0
FL-606,2024,192.0,71.0,0.0,59.0,163.0,33.0,0.0,0.0,0.0
