coc_number,year,total_year_round_beds_es,total_year_round_beds_th,total_year_round_beds_sh,total_year_round_beds_psh,total_year_round_beds_rrh,total_year_round_beds_oph,total_seasonal_beds_es,total_overflow_beds_es,total_chronic_homeless_beds_psh
KS-505,2020,107.0,30.0,0.0,21.0,87.0,0.0,36.0,8.0,0.0
KS-507,2020,975.0,488.0,0.0,340.0,356.0,0.0,36.0,18.0,45.0
KY-500,2020,1556.0,309.0,0.0,1101.0,749.0,10.0,155.0,74.0,811.0
KY-501,2020,661.0,277.0,0.0,1668.0,381.0,235.0,51.0,76.0,253.0
KY-502,2020,448.0,71.0,0.0,418.0,132.0,0.0,14.0,150.0,418.0
LA-500,2020,179.0,63.0,7.0,320.0,152.0,0.0,0.0,8.0,86.0
LA-502,2020,253.0,52.0,25.0,565.0,152.0,0.0,0.0,4.0,304.0
LA-503,2020,704.0,272.0,25.0,3289.0,796.0,0.0,0.0,11.0,2110.0
LA-505,2020,90.0,63.0,0.0,60.0,154.0,0.0,0.0,0.0,59.0
LA-506,2020,47.0,50.0,0.0,302.0,54.0,0.0,0.0,0.0,51.0
LA-507,2020,58.0,60.0,0.0,220.0,46.0,0.0,0.0,34.0,0.0
LA-509,2020,417.0,170.0,45.0,671.0,445.0,0.0,0.0,11.0,118.0
MA-500,2020,5458.0,545.0,41.0,5496.0,1598.0,4093.0,76.0,189.0,3896.0
MA-502,2020,957.0,0.0,0.0,254.0,0.0,0.0,14.0,50.0,224.0
MA-503,2020,232.0,56.0,0.0,267.0,62.0,39.0,25.0,0.0,131.0
MA-504,2020,2678.0,135.0,7.0,1003.0,1095.0,168.0,0.0,3.0,902.0
MA-505,2020,298.0,85.0,12.0,302.0,172.0,0.0,30.0,0.0,234.0
MA-506,2020,980.0,397.0,13.0,919.0,571.0,33.0,50.0,40.0,220.0
MA-507,2020,250.0,238.0,0.0,634.0,175.0,47.0,83.0,9.0,113.0
MA-509,2020,247.0,117.0,0.0,480.0,46.0,118.0,95.0,26.0,153.0
MA-510,2020,545.0,65.0,0.0,444.0,256.0,188.0,0.0,14.0,444.0
MA-511,2020,950.0,0.0,15.0,975.0,806.0,0.0,23.0,73.0,507.0
MA-515,2020,248.0,24.0,0.0,198.0,189.0,0.0,20.0,30.0,158.0
MA-516,2020,2276.0,376.0,0.0,1556.0,730.0,305.0,108.0,52.0,690.0
MA-519,2020,241.0,42.0,0.0,107.0,0.0,6.0,0.0,0.0,73.0
MD-500,2020,93.0,51.0,0.0,88.0,24.0,0.0,22.0,3.0,0.0
MD-501,2020,1135.0,975.0,30.0,3224.0,291.0,1486.0,0.0,171.0,2109.0
MD-502,2020,108.0,29.0,0.0,165.0,32.0,0.0,40.0,9.0,31.0
MD-503,2020,129.0,14.0,0.0,265.0,42.0,54.0,81.0,17.0,196.0
MD-504,2020,95.0,0.0,0.0,103.0,69.0,34.0,22.0,0.0,60.0
MD-505,2020,519.0,76.0,0.0,597.0,175.0,0.0,108.0,0.0,494.0
MD-506,2020,60.0,0.0,25.0,40.0,32.0,0.0,25.0,10.0,30.0
MD-507,2020,22.0,99.0,0.0,121.0,20.0,0.0,25.0,0.0,100.0
MD-508,2020,198.0,13.0,0.0,318.0,42.0,0.0,95.0,9.0,277.0
MD-509,2020,151.0,101.0,0.0,52.0,68.0,0.0,0.0,11.0,46.0
MD-510,2020,21.0,9.0,0.0,31.0,0.0,0.0,0.0,0.0,2.0
MD-511,2020,80.0,23.0,0.0,100.0,86.0,0.0,61.0,0.0,2.0
MD-512,2020,128.0,25.0,0.0,87.0,29.0,0.0,42.0,0.0,52.0
MD-513,2020,208.0,39.0,0.0,277.0,98.0,0.0,40.0,6.0,96.0
MD-600,2020,224.0,157.0,0.0,301.0,60.0,186.0,28.0,0.0,176.0
MD-601,2020,279.0,101.0,4.0,2155.0,371.0,166.0,63.0,246.0,401.0
ME-500,2020,1241.0,1092.0,15.0,2404.0,309.0,114.0,0.0,177.0,261.0
MI-500,2020,1387.0,423.0,0.0,517.0,1210.0,61.0,129.0,16.0,43.0
MI-501,2020,867.0,577.0,34.0,2855.0,853.0,0.0,302.0,33.0,2138.0
MI-502,2020,162.0,88.0,10.0,624.0,119.0,0.0,0.0,0.0,420.0
MI-503,2020,190.0,36.0,0.0,225.0,28.0,0.0,53.0,0.0,64.0
MI-504,2020,170.0,115.0,0.0,665.0,254.0,45.0,82.0,2.0,272.0
MI-505,2020,263.0,60.0,0.0,276.0,148.0,0.0,69.0,0.0,36.0
MI-506,2020,800.0,272.0,0.0,1039.0,398.0,80.0,40.0,21.0,343.0
MI-507,2020,661.0,52.0,0.0,462.0,86.0,127.0,0.0,0.0,204.0
MI-508,2020,522.0,52.0,9.0,472.0,149.0,67.0,0.0,46.0,147.0
MI-509,2020,247.0,40.0,0.0,623.0,264.0,0.0,105.0,0.0,595.0
MI-510,2020,245.0,184.0,6.0,401.0,55.0,0.0,0.0,5.0,202.0
MI-511,2020,122.0,62.0,0.0,7.0,18.0,0.0,0.0,0.0,7.0
MI-512,2020,128.0,13.0,0.0,306.0,71.0,0.0,73.0,0.0,0.0
MI-514,2020,181.0,31.0,0.0,97.0,40.0,0.0,0.0,26.0,7.0
MI-515,2020,151.0,77.0,0.0,22.0,18.0,0.0,0.0,0.0,20.0
MI-516,2020,149.0,0.0,0.0,143.0,73.0,559.0,30.0,0.0,63.0
MI-517,2020,113.0,0.0,0.0,95.0,55.0,0.0,0.0,10.0,95.0
MI-518,2020,24.0,26.0,0.0,23.0,25.0,0.0,19.0,0.0,4.0
MI-519,2020,161.0,143.0,0.0,136.0,122.0,0.0,0.0,11.0,48.0
MI-523,2020,45.0,66.0,0.0,43.0,66.0,0.0,0.0,0.0,43.0
MN-500,2020,1889.0,704.0,0.0,5126.0,880.0,2321.0,43.0,69.0,639.0
MN-501,2020,982.0,673.0,0.0,2835.0,461.0,625.0,64.0,13.0,925.0
MN-502,2020,212.0,205.0,0.0,302.0,128.0,581.0,97.0,11.0,237.0
MN-503,2020,336.0,92.0,0.0,955.0,277.0,161.0,0.0,36.0,224.0
MN-504,2020,24.0,54.0,0.0,82.0,30.0,115.0,0.0,8.0,5.0
MN-505,2020,288.0,266.0,0.0,252.0,245.0,288.0,43.0,4.0,64.0
MN-506,2020,191.0,145.0,0.0,134.0,99.0,340.0,16.0,27.0,10.0
MN-508,2020,86.0,119.0,0.0,646.0,210.0,48.0,0.0,25.0,294.0
MN-509,2020,199.0,169.0,0.0,549.0,101.0,440.0,29.0,2.0,135.0
MN-511,2020,56.0,40.0,0.0,148.0,122.0,41.0,0.0,0.0,51.0
MO-500,2020,177.0,185.0,0.0,532.0,97.0,65.0,48.0,39.0,481.0
MO-501,2020,490.0,533.0,0.0,1866.0,283.0,52.0,184.0,50.0,1860.0
MO-503,2020,140.0,25.0,0.0,33.0,86.0,117.0,0.0,120.0,33.0
MO-600,2020,404.0,42.0,0.0,168.0,162.0,0.0,124.0,35.0,168.0
MO-602,2020,217.0,90.0,0.0,176.0,41.0,0.0,18.0,0.0,176.0
MO-603,2020,151.0,65.0,18.0,204.0,27.0,0.0,20.0,22.0,112.0
MO-604,2020,1206.0,764.0,25.0,2033.0,370.0,20.0,0.0,110.0,1717.0
MO-606,2020,1162.0,276.0,8.0,1009.0,340.0,0.0,95.0,3.0,799.0
MP-500,2020,30.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
MS-500,2020,193.0,346.0,0.0,653.0,119.0,0.0,0.0,0.0,311.0
MS-501,2020,320.0,41.0,0.0,199.0,679.0,75.0,0.0,10.0,46.0
MS-503,2020,25.0,37.0,0.0,58.0,346.0,0.0,0.0,0.0,46.0
MT-500,2020,961.0,390.0,0.0,941.0,232.0,0.0,86.0,56.0,245.0
NC-500,2020,355.0,62.0,0.0,397.0,81.0,0.0,80.0,7.0,110.0
NC-501,2020,259.0,264.0,0.0,511.0,31.0,50.0,17.0,77.0,186.0
NC-502,2020,252.0,44.0,0.0,347.0,114.0,0.0,0.0,10.0,161.0
NC-503,2020,2573.0,704.0,0.0,2002.0,428.0,0.0,64.0,5.0,1498.0
NC-504,2020,381.0,64.0,0.0,375.0,80.0,0.0,62.0,11.0,174.0
NC-505,2020,971.0,352.0,0.0,1248.0,560.0,321.0,124.0,113.0,733.0
NC-506,2020,234.0,40.0,20.0,210.0,26.0,16.0,0.0,0.0,101.0
NC-507,2020,509.0,239.0,0.0,565.0,219.0,0.0,0.0,105.0,130.0
NC-509,2020,205.0,24.0,0.0,140.0,16.0,0.0,10.0,27.0,0.0
NC-511,2020,38.0,94.0,0.0,223.0,29.0,0.0,0.0,0.0,22.0
NC-513,2020,43.0,52.0,0.0,96.0,2.0,0.0,0.0,21.0,82.0
NC-516,2020,112.0,37.0,0.0,60.0,20.0,0.0,30.0,15.0,4.0
ND-500,2020,563.0,178.0,16.0,743.0,129.0,0.0,52.0,4.0,330.0
NE-500,2020,455.0,313.0,0.0,141.0,248.0,0.0,0.0,0.0,58.0
NE-501,2020,1215.0,302.0,34.0,817.0,456.0,196.0,0.0,84.0,809.0
NE-502,2020,327.0,118.0,0.0,302.0,251.0,95.0,0.0,50.0,105.0
NH-500,2020,643.0,102.0,0.0,518.0,181.0,0.0,66.0,13.0,123.0
NH-501,2020,267.0,208.0,4.0,315.0,85.0,88.0,0.0,0.0,44.0
NH-502,2020,129.0,216.0,5.0,272.0,6.0,0.0,0.0,0.0,24.0
NJ-500,2020,265.0,74.0,0.0,184.0,1404.0,0.0,0.0,98.0,156.0
NJ-501,2020,156.0,218.0,0.0,464.0,72.0,0.0,24.0,18.0,162.0
NJ-502,2020,245.0,33.0,0.0,256.0,99.0,49.0,44.0,227.0,32.0
NJ-503,2020,523.0,273.0,0.0,1012.0,123.0,82.0,0.0,172.0,544.0
NJ-504,2020,1759.0,643.0,0.0,1620.0,167.0,11.0,0.0,4.0,1058.0
NJ-506,2020,339.0,45.0,0.0,542.0,293.0,13.0,100.0,236.0,312.0
NJ-507,2020,160.0,25.0,0.0,482.0,105.0,124.0,15.0,381.0,265.0
NJ-508,2020,109.0,156.0,0.0,648.0,65.0,0.0,28.0,139.0,378.0
NJ-509,2020,133.0,131.0,20.0,211.0,34.0,61.0,0.0,92.0,106.0
NJ-510,2020,67.0,60.0,0.0,322.0,25.0,0.0,0.0,266.0,87.0
NJ-511,2020,384.0,34.0,0.0,558.0,181.0,103.0,0.0,137.0,300.0
NJ-512,2020,32.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ-513,2020,104.0,198.0,0.0,304.0,27.0,0.0,0.0,104.0,11.0
NJ-514,2020,274.0,124.0,0.0,435.0,352.0,305.0,0.0,104.0,245.0
NJ-515,2020,143.0,147.0,0.0,403.0,36.0,0.0,14.0,140.0,123.0
NJ-516,2020,124.0,151.0,0.0,123.0,225.0,0.0,0.0,124.0,80.0
NM-500,2020,693.0,461.0,0.0,1255.0,457.0,116.0,22.0,170.0,1003.0
NM-501,2020,1025.0,200.0,0.0,815.0,363.0,0.0,163.0,6.0,335.0
NV-500,2020,1563.0,687.0,25.0,2284.0,1006.0,33.0,335.0,233.0,1140.0
NV-501,2020,382.0,323.0,0.0,508.0,70.0,0.0,50.0,150.0,78.0
NV-502,2020,138.0,35.0,0.0,155.0,39.0,17.0,0.0,0.0,24.0
NY-500,2020,575.0,161.0,12.0,1298.0,438.0,9.0,59.0,10.0,395.0
NY-501,2020,76.0,60.0,0.0,219.0,272.0,0.0,0.0,156.0,31.0
NY-503,2020,298.0,167.0,4.0,865.0,272.0,0.0,46.0,304.0,224.0
NY-505,2020,595.0,180.0,0.0,1234.0,700.0,168.0,8.0,10.0,279.0
NY-507,2020,170.0,50.0,0.0,523.0,176.0,0.0,24.0,190.0,75.0
NY-508,2020,656.0,253.0,0.0,1225.0,465.0,40.0,115.0,0.0,371.0
NY-510,2020,29.0,23.0,0.0,113.0,42.0,28.0,16.0,40.0,19.0
NY-511,2020,256.0,74.0,0.0,361.0,110.0,0.0,0.0,7.0,67.0
NY-512,2020,117.0,45.0,0.0,643.0,152.0,0.0,15.0,58.0,262.0
NY-513,2020,183.0,114.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0
NY-514,2020,85.0,40.0,0.0,91.0,41.0,0.0,0.0,0.0,0.0
NY-518,2020,159.0,62.0,0.0,511.0,118.0,11.0,0.0,0.0,41.0
NY-519,2020,24.0,12.0,0.0,50.0,19.0,0.0,0.0,145.0,26.0
NY-520,2020,4.0,10.0,0.0,33.0,5.0,0.0,0.0,29.0,2.0
NY-522,2020,17.0,17.0,0.0,446.0,59.0,0.0,0.0,20.0,28.0
NY-523,2020,85.0,23.0,0.0,277.0,72.0,0.0,79.0,131.0,61.0
NY-525,2020,138.0,75.0,0.0,190.0,100.0,0.0,11.0,283.0,3.0
NY-600,2020,74107.0,3380.0,40.0,34119.0,659.0,0.0,0.0,422.0,21994.0
NY-601,2020,432.0,176.0,0.0,256.0,28.0,0.0,0.0,17.0,40.0
NY-602,2020,235.0,54.0,0.0,313.0,29.0,0.0,49.0,202.0,294.0
NY-603,2020,3552.0,188.0,26.0,2246.0,404.0,0.0,0.0,0.0,1343.0
NY-604,2020,1047.0,673.0,0.0,1504.0,285.0,2820.0,46.0,98.0,0.0
NY-606,2020,44.0,50.0,0.0,83.0,45.0,0.0,54.0,4.0,16.0
NY-608,2020,90.0,12.0,0.0,135.0,17.0,20.0,25.0,304.0,26.0
OH-500,2020,864.0,267.0,20.0,1915.0,1284.0,0.0,56.0,127.0,1576.0
OH-501,2020,439.0,101.0,0.0,1292.0,404.0,171.0,58.0,26.0,419.0
OH-502,2020,1297.0,105.0,40.0,5340.0,893.0,0.0,82.0,160.0,1275.0
OH-503,2020,1141.0,155.0,0.0,2737.0,637.0,0.0,55.0,289.0,2257.0
OH-504,2020,173.0,11.0,0.0,496.0,147.0,4.0,0.0,0.0,150.0
OH-505,2020,410.0,115.0,0.0,1422.0,303.0,0.0,60.0,0.0,524.0
OH-506,2020,286.0,187.0,22.0,701.0,195.0,0.0,0.0,15.0,374.0
OH-507,2020,2476.0,840.0,10.0,3658.0,2006.0,20.0,97.0,40.0,2693.0
OH-508,2020,271.0,23.0,0.0,563.0,200.0,14.0,0.0,17.0,405.0
OK-500,2020,127.0,74.0,0.0,18.0,48.0,0.0,58.0,41.0,2.0
OK-501,2020,541.0,265.0,25.0,589.0,181.0,0.0,0.0,72.0,303.0
OK-502,2020,992.0,180.0,0.0,880.0,136.0,0.0,0.0,218.0,378.0
OK-503,2020,115.0,14.0,0.0,59.0,0.0,0.0,0.0,4.0,59.0
OK-504,2020,59.0,62.0,0.0,116.0,22.0,0.0,66.0,4.0,0.0
OK-505,2020,12.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
OK-506,2020,214.0,38.0,0.0,11.0,0.0,0.0,0.0,12.0,0.0
OK-507,2020,380.0,2.0,0.0,155.0,122.0,0.0,0.0,54.0,6.0
OR-500,2020,509.0,127.0,0.0,697.0,194.0,0.0,0.0,0.0,248.0
OR-501,2020,1678.0,746.0,0.0,4947.0,2291.0,0.0,0.0,0.0,2181.0
OR-502,2020,214.0,259.0,0.0,467.0,86.0,0.0,60.0,0.0,96.0
OR-503,2020,242.0,96.0,0.0,201.0,109.0,0.0,118.0,17.0,181.0
OR-504,2020,314.0,313.0,0.0,239.0,227.0,59.0,225.0,0.0,2.0
OR-505,2020,548.0,516.0,0.0,178.0,957.0,93.0,296.0,0.0,55.0
OR-506,2020,125.0,126.0,10.0,509.0,231.0,0.0,96.0,14.0,149.0
OR-507,2020,99.0,35.0,0.0,401.0,164.0,0.0,0.0,0.0,180.0
PA-500,2020,3878.0,1090.0,254.0,5131.0,1236.0,0.0,452.0,135.0,1715.0
PA-501,2020,181.0,141.0,25.0,214.0,129.0,28.0,81.0,2.0,36.0
PA-502,2020,328.0,79.0,0.0,415.0,237.0,2.0,0.0,0.0,78.0
PA-503,2020,101.0,118.0,0.0,383.0,114.0,0.0,0.0,40.0,57.0
PA-504,2020,161.0,52.0,0.0,199.0,261.0,0.0,39.0,30.0,106.0
PA-505,2020,229.0,305.0,0.0,246.0,147.0,60.0,19.0,0.0,26.0
PA-506,2020,207.0,198.0,0.0,420.0,9.0,0.0,126.0,68.0,15.0
PA-508,2020,51.0,73.0,11.0,232.0,139.0,0.0,22.0,6.0,164.0
PA-509,2020,1331.0,634.0,0.0,1244.0,952.0,144.0,284.0,46.0,805.0
PA-510,2020,276.0,117.0,0.0,144.0,180.0,0.0,80.0,0.0,24.0
PA-511,2020,115.0,177.0,0.0,125.0,171.0,0.0,77.0,0.0,43.0
PA-512,2020,267.0,103.0,0.0,244.0,193.0,5.0,0.0,6.0,172.0
PA-600,2020,523.0,159.0,8.0,2315.0,854.0,0.0,139.0,5.0,1057.0
PA-601,2020,772.0,282.0,0.0,1320.0,715.0,68.0,20.0,28.0,952.0
PA-603,2020,98.0,39.0,0.0,152.0,54.0,0.0,0.0,0.0,102.0
PA-605,2020,269.0,127.0,10.0,441.0,139.0,90.0,75.0,0.0,166.0
PR-502,2020,133.0,327.0,12.0,1195.0,173.0,255.0,0.0,0.0,747.0
PR-503,2020,192.0,57.0,10.0,608.0,153.0,0.0,0.0,0.0,403.0
RI-500,2020,726.0,267.0,0.0,1237.0,394.0,633.0,82.0,40.0,540.0
SC-500,2020,239.0,96.0,5.0,436.0,168.0,0.0,135.0,0.0,86.0
SC-501,2020,904.0,209.0,12.0,339.0,34.0,0.0,241.0,0.0,339.0
SC-502,2020,653.0,404.0,0.0,884.0,144.0,102.0,279.0,0.0,184.0
SC-503,2020,271.0,274.0,0.0,451.0,126.0,349.0,0.0,1.0,420.0
SD-500,2020,1123.0,92.0,0.0,621.0,321.0,25.0,14.0,19.0,552.0
TN-500,2020,224.0,16.0,0.0,466.0,163.0,0.0,100.0,60.0,43.0
TN-501,2020,523.0,543.0,0.0,1316.0,465.0,194.0,0.0,84.0,800.0
TN-502,2020,443.0,252.0,0.0,388.0,343.0,18.0,0.0,0.0,102.0
TN-503,2020,215.0,244.0,0.0,55.0,17.0,0.0,24.0,7.0,15.0
TN-504,2020,1168.0,326.0,5.0,1033.0,243.0,119.0,228.0,0.0,53.0
TN-506,2020,256.0,43.0,0.0,168.0,21.0,0.0,30.0,4.0,0.0
TN-507,2020,21.0,17.0,0.0,273.0,150.0,0.0,25.0,0.0,34.0
TN-509,2020,334.0,99.0,0.0,470.0,113.0,0.0,36.0,2.0,224.0
TN-510,2020,77.0,62.0,0.0,243.0,5.0,0.0,60.0,0.0,4.0
TN-512,2020,162.0,30.0,0.0,31.0,144.0,0.0,16.0,7.0,27.0
TX-500,2020,1465.0,349.0,0.0,2001.0,753.0,1182.0,0.0,38.0,686.0
TX-503,2020,757.0,211.0,61.0,1161.0,905.0,190.0,0.0,0.0,1098.0
TX-600,2020,1958.0,1127.0,46.0,2165.0,519.0,730.0,40.0,35.0,1122.0
TX-601,2020,1543.0,215.0,20.0,1847.0,816.0,161.0,26.0,108.0,1703.0
TX-603,2020,917.0,241.0,0.0,163.0,189.0,86.0,0.0,41.0,101.0
TX-604,2020,142.0,108.0,0.0,138.0,130.0,0.0,0.0,2.0,81.0
TX-607,2020,4328.0,847.0,0.0,1006.0,1137.0,0.0,0.0,46.0,327.0
TX-611,2020,351.0,191.0,0.0,209.0,9.0,0.0,0.0,15.0,166.0
TX-624,2020,367.0,20.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
TX-700,2020,1884.0,801.0,32.0,6078.0,1122.0,25.0,0.0,100.0,3131.0
TX-701,2020,160.0,0.0,0.0,0.0,65.0,0.0,12.0,0.0,0.0
UT-500,2020,1349.0,363.0,0.0,2549.0,509.0,145.0,58.0,160.0,1501.0
UT-503,2020,882.0,146.0,0.0,415.0,458.0,0.0,0.0,30.0,111.0
UT-504,2020,84.0,41.0,0.0,155.0,32.0,29.0,0.0,0.0,75.0
VA-500,2020,310.0,60.0,35.0,937.0,287.0,152.0,0.0,60.0,253.0
VA-501,2020,450.0,112.0,0.0,612.0,360.0,159.0,206.0,19.0,314.0
VA-502,2020,438.0,0.0,0.0,198.0,42.0,0.0,0.0,2.0,60.0
VA-503,2020,127.0,56.0,0.0,348.0,302.0,191.0,60.0,0.0,59.0
VA-504,2020,92.0,15.0,0.0,128.0,30.0,25.0,72.0,0.0,100.0
VA-505,2020,194.0,70.0,0.0,714.0,150.0,88.0,250.0,0.0,83.0
VA-507,2020,55.0,22.0,0.0,188.0,59.0,0.0,40.0,0.0,146.0
VA-508,2020,144.0,0.0,0.0,67.0,75.0,0.0,0.0,0.0,11.0
VA-513,2020,297.0,0.0,0.0,73.0,74.0,0.0,92.0,21.0,32.0
VA-514,2020,167.0,0.0,0.0,137.0,120.0,0.0,37.0,13.0,56.0
VA-521,2020,675.0,163.0,0.0,236.0,345.0,18.0,162.0,13.0,66.0
VA-600,2020,175.0,15.0,0.0,278.0,166.0,14.0,25.0,4.0,153.0
VA-601,2020,507.0,247.0,0.0,627.0,366.0,482.0,273.0,49.0,327.0
VA-602,2020,56.0,38.0,0.0,24.0,35.0,0.0,26.0,11.0,24.0
VA-603,2020,145.0,46.0,12.0,47.0,120.0,3.0,50.0,0.0,22.0
VA-604,2020,209.0,41.0,0.0,46.0,133.0,9.0,40.0,0.0,46.0
VI-500,2020,34.0,58.0,0.0,45.0,24.0,0.0,0.0,0.0,0.0
VT-500,2020,470.0,161.0,0.0,432.0,479.0,0.0,157.0,285.0,407.0
VT-501,2020,151.0,41.0,0.0,118.0,97.0,104.0,47.0,68.0,95.0
WA-500,2020,4857.0,2131.0,84.0,6249.0,964.0,1731.0,171.0,32.0,2683.0
WA-501,2020,3179.0,1708.0,0.0,1613.0,2530.0,1090.0,556.0,44.0,625.0
WA-502,2020,731.0,285.0,0.0,839.0,695.0,695.0,180.0,111.0,408.0
WA-503,2020,834.0,190.0,0.0,1020.0,778.0,421.0,0.0,93.0,559.0
WA-504,2020,452.0,49.0,0.0,1939.0,446.0,647.0,70.0,1.0,1214.0
WA-508,2020,160.0,157.0,0.0,544.0,248.0,85.0,132.0,4.0,279.0
WI-500,2020,1973.0,705.0,7.0,856.0,729.0,112.0,302.0,271.0,387.0
WI-501,2020,712.0,149.0,47.0,1739.0,378.0,86.0,227.0,18.0,548.0
WI-502,2020,176.0,61.0,0.0,146.0,92.0,0.0,0.0,20.0,56.0
WI-503,2020,354.0,157.0,0.0,965.0,357.0,542.0,35.0,24.0,177.0
WV-500,2020,53.0,54.0,0.0,18.0,16.0,0.0,16.0,36.0,16.0
WV-501,2020,194.0,0.0,8.0,371.0,278.0,106.0,0.0,24.0,20.0
WV-503,2020,240.0,38.0,0.0,161.0,42.0,0.0,0.0,82.0,91.0
WV-508,2020,797.0,96.0,0.0,649.0,331.0,24.0,49.0,60.0,317.0
WY-500,2020,533.0,271.0,0.0,210.0,34.0,0.0,0.0,0.0,58.0
Total,2020,301589.0,92258.0,2302.0,373030.0,122815.0,49877.0,20958.0,14919.0,179569.0
AK-500,2019,799.0,234.0,0.0,601.0,171.0,71.0,119.0,16.0,288.0
AK-501,2019,575.0,270.0,0.0,386.0,67.0,0.0,75.0,25.0,135.0
AL-500,2019,516.0,277.0,34.0,1740.0,106.0,0.0,0.0,40.0,210.0
AL-501,2019,261.0,133.0,0.0,240.0,31.0,0.0,0.0,3.0,94.0
AL-502,2019,106.0,83.0,0.0,42.0,0.0,8.0,0.0,0.0,0.0
AL-503,2019,517.0,34.0,0.0,298.0,32.0,0.0,46.0,2.0,288.0
AL-504,2019,226.0,130.0,0.0,465.0,39.0,0.0,0.0,0.0,87.0
AL-505,2019,98.0,17.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0
AL-506,2019,91.0,8.0,0.0,294.0,0.0,0.0,0.0,0.0,267.0
AL-507,2019,122.0,48.0,0.0,77.0,0.0,0.0,0.0,1.0,3.0
AR-500,2019,476.0,238.0,0.0,964.0,162.0,0.0,0.0,120.0,0.0
AR-501,2019,201.0,50.0,0.0,196.0,44.0,0.0,20.0,63.0,178.0
AR-503,2019,434.0,81.0,0.0,15.0,94.0,0.0,0.0,0.0,15.0
AR-505,2019,187.0,12.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0
AR-508,2019,199.0,39.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
AZ-500,2019,902.0,261.0,0.0,1187.0,628.0,0.0,7.0,19.0,507.0
AZ-501,2019,767.0,448.0,15.0,1725.0,547.0,0.0,129.0,33.0,174.0
AZ-502,2019,2118.0,2004.0,53.0,6326.0,1337.0,315.0,0.0,109.0,1377.0
CA-500,2019,900.0,844.0,20.0,3276.0,1284.0,0.0,335.0,175.0,1744.0
CA-501,2019,2631.0,752.0,20.0,10797.0,664.0,0.0,65.0,25.0,9667.0
CA-502,2019,1160.0,565.0,32.0,3353.0,606.0,0.0,158.0,9.0,645.0
CA-503,2019,944.0,682.0,0.0,3266.0,743.0,533.0,325.0,2.0,2572.0
CA-504,2019,699.0,275.0,0.0,764.0,495.0,318.0,252.0,30.0,396.0
CA-505,2019,474.0,186.0,0.0,1111.0,126.0,0.0,78.0,21.0,477.0
CA-506,2019,328.0,499.0,0.0,271.0,170.0,0.0,147.0,0.0,234.0
CA-507,2019,204.0,199.0,0.0,436.0,92.0,119.0,0.0,0.0,186.0
CA-508,2019,279.0,182.0,0.0,571.0,204.0,0.0,160.0,0.0,554.0
CA-509,2019,104.0,226.0,0.0,244.0,20.0,0.0,20.0,0.0,0.0
CA-510,2019,600.0,214.0,0.0,610.0,98.0,0.0,133.0,0.0,576.0
CA-511,2019,883.0,346.0,0.0,769.0,262.0,0.0,0.0,61.0,230.0
CA-512,2019,333.0,348.0,0.0,1054.0,239.0,34.0,0.0,4.0,377.0
CA-513,2019,234.0,171.0,0.0,260.0,105.0,0.0,0.0,0.0,158.0
CA-514,2019,411.0,114.0,0.0,1353.0,534.0,44.0,0.0,0.0,873.0
CA-515,2019,250.0,217.0,0.0,188.0,182.0,108.0,0.0,0.0,136.0
CA-516,2019,483.0,304.0,0.0,36.0,58.0,51.0,0.0,0.0,20.0
CA-517,2019,102.0,65.0,0.0,49.0,116.0,0.0,55.0,9.0,23.0
CA-518,2019,240.0,99.0,0.0,382.0,88.0,0.0,0.0,0.0,376.0
CA-519,2019,318.0,195.0,0.0,346.0,72.0,0.0,0.0,7.0,45.0
CA-520,2019,248.0,112.0,0.0,163.0,46.0,0.0,0.0,18.0,0.0
CA-521,2019,209.0,59.0,0.0,142.0,233.0,0.0,55.0,15.0,62.0
CA-522,2019,299.0,97.0,0.0,56.0,93.0,0.0,18.0,0.0,51.0
CA-523,2019,17.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-524,2019,212.0,0.0,0.0,29.0,4.0,0.0,30.0,10.0,0.0
CA-525,2019,56.0,64.0,0.0,5.0,107.0,0.0,86.0,0.0,0.0
CA-526,2019,134.0,51.0,0.0,46.0,141.0,0.0,0.0,23.0,45.0
CA-527,2019,24.0,34.0,0.0,0.0,143.0,0.0,40.0,0.0,0.0
CA-529,2019,30.0,23.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
CA-530,2019,11.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
CA-531,2019,134.0,45.0,0.0,22.0,34.0,0.0,49.0,0.0,22.0
CA-600,2019,10967.0,3406.0,128.0,20219.0,6924.0,1744.0,1146.0,0.0,6655.0
CA-601,2019,1986.0,1873.0,71.0,4177.0,1525.0,842.0,144.0,8.0,597.0
CA-602,2019,1989.0,1105.0,0.0,2243.0,774.0,108.0,400.0,128.0,545.0
CA-603,2019,552.0,217.0,0.0,665.0,127.0,297.0,0.0,20.0,281.0
