coc_number,coc_name,year,overall_homeless,overall_homeless_individuals,overall_homeless_people_in_families,overall_homeless_family_households,overall_chronically_homeless_individuals,sheltered_es_homeless,sheltered_es_homeless_individuals,sheltered_es_homeless_people_in_families,sheltered_es_homeless_family_households,sheltered_th_homeless,sheltered_th_homeless_individuals,sheltered_th_homeless_people_in_families,sheltered_th_homeless_family_households,sheltered_total_homeless,sheltered_total_homeless_individuals,sheltered_total_homeless_people_in_families,sheltered_total_homeless_family_households,sheltered_total_chronically_homeless_individuals,unsheltered_homeless,unsheltered_homeless_individuals,unsheltered_homeless_people_in_families,unsheltered_homeless_family_households,unsheltered_chronically_homeless_individuals
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",2020,1683.0,643.0,1040.0,342.0,111.0,1068.0,534.0,534.0,175.0,548.0,42.0,506.0,167.0,1616.0,576.0,1040.0,342.0,94.0,67.0,67.0,0.0,0.0,17.0
NY-606,Rockland County CoC,2020,193.0,158.0,35.0,13.0,76.0,88.0,53.0,35.0,13.0,33.0,33.0,0.0,0.0,121.0,86.0,35.0,13.0,23.0,72.0,72.0,0.0,0.0,53.0
NY-608,Kingston/Ulster County CoC,2020,439.0,176.0,263.0,83.0,27.0,398.0,138.0,260.0,82.0,10.0,10.0,0.0,0.0,408.0,148.0,260.0,82.0,6.0,31.0,28.0,3.0,1.0,21.0
OH-500,Cincinnati/Hamilton County CoC,2020,1092.0,855.0,237.0,69.0,71.0,813.0,612.0,201.0,56.0,203.0,167.0,36.0,13.0,1036.0,799.0,237.0,69.0,59.0,56.0,56.0,0.0,0.0,12.0
OH-501,Toledo/Lucas County CoC,2020,602.0,368.0,234.0,68.0,40.0,448.0,264.0,184.0,52.0,99.0,51.0,48.0,15.0,547.0,315.0,232.0,67.0,32.0,55.0,53.0,2.0,1.0,8.0
OH-502,Cleveland/Cuyahoga County CoC,2020,1675.0,1315.0,360.0,106.0,171.0,1472.0,1114.0,358.0,105.0,62.0,60.0,2.0,1.0,1566.0,1206.0,360.0,106.0,136.0,109.0,109.0,0.0,0.0,35.0
OH-503,Columbus/Franklin County CoC,2020,2036.0,1413.0,623.0,173.0,177.0,1466.0,911.0,555.0,155.0,137.0,69.0,68.0,18.0,1603.0,980.0,623.0,173.0,29.0,433.0,433.0,0.0,0.0,148.0
OH-504,Youngstown/Mahoning County CoC,2020,100.0,55.0,45.0,15.0,6.0,78.0,38.0,40.0,13.0,10.0,5.0,5.0,2.0,88.0,43.0,45.0,15.0,3.0,12.0,12.0,0.0,0.0,3.0
OH-505,"Dayton, Kettering/Montgomery County CoC",2020,736.0,598.0,138.0,43.0,18.0,593.0,463.0,130.0,40.0,94.0,86.0,8.0,3.0,687.0,549.0,138.0,43.0,16.0,49.0,49.0,0.0,0.0,2.0
OH-506,"Akron, Barberton/Summit County CoC",2020,587.0,445.0,142.0,50.0,44.0,282.0,176.0,106.0,38.0,158.0,124.0,34.0,11.0,459.0,319.0,140.0,49.0,12.0,128.0,126.0,2.0,1.0,32.0
OH-507,Ohio Balance of State CoC,2020,3577.0,2452.0,1125.0,344.0,170.0,1913.0,1229.0,684.0,206.0,668.0,257.0,411.0,130.0,2591.0,1496.0,1095.0,336.0,144.0,986.0,956.0,30.0,8.0,26.0
OH-508,"Canton, Massillon, Alliance/Stark County CoC",2020,250.0,135.0,115.0,38.0,3.0,211.0,118.0,93.0,32.0,23.0,1.0,22.0,6.0,234.0,119.0,115.0,38.0,2.0,16.0,16.0,0.0,0.0,1.0
OK-500,North Central Oklahoma CoC,2020,221.0,188.0,33.0,11.0,26.0,115.0,95.0,20.0,7.0,43.0,34.0,9.0,3.0,158.0,129.0,29.0,10.0,16.0,63.0,59.0,4.0,1.0,10.0
OK-501,Tulsa City & County CoC,2020,1221.0,1003.0,218.0,66.0,253.0,669.0,536.0,133.0,38.0,258.0,176.0,82.0,27.0,953.0,738.0,215.0,65.0,151.0,268.0,265.0,3.0,1.0,102.0
OK-502,Oklahoma City CoC,2020,1573.0,1309.0,264.0,84.0,432.0,850.0,657.0,193.0,60.0,166.0,95.0,71.0,24.0,1016.0,752.0,264.0,84.0,80.0,557.0,557.0,0.0,0.0,352.0
OK-503,Oklahoma Balance of State CoC,2020,161.0,108.0,53.0,17.0,62.0,106.0,67.0,39.0,14.0,0.0,0.0,0.0,0.0,106.0,67.0,39.0,14.0,36.0,55.0,41.0,14.0,3.0,26.0
OK-504,Norman/Cleveland County CoC,2020,266.0,235.0,31.0,9.0,215.0,69.0,69.0,0.0,0.0,51.0,20.0,31.0,9.0,120.0,89.0,31.0,9.0,69.0,146.0,146.0,0.0,0.0,146.0
OK-505,Northeast Oklahoma CoC,2020,55.0,42.0,13.0,3.0,23.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,49.0,36.0,13.0,3.0,18.0
OK-506,Southwest Oklahoma Regional CoC,2020,165.0,84.0,81.0,32.0,8.0,106.0,63.0,43.0,16.0,36.0,2.0,34.0,14.0,142.0,65.0,77.0,30.0,8.0,23.0,19.0,4.0,2.0,0.0
OK-507,Southeastern Oklahoma Regional CoC,2020,270.0,193.0,77.0,33.0,64.0,187.0,158.0,29.0,11.0,0.0,0.0,0.0,0.0,187.0,158.0,29.0,11.0,60.0,83.0,35.0,48.0,22.0,4.0
OR-500,"Eugene, Springfield/Lane County CoC",2020,1606.0,1362.0,244.0,72.0,519.0,455.0,361.0,94.0,29.0,114.0,52.0,62.0,20.0,569.0,413.0,156.0,49.0,122.0,1037.0,949.0,88.0,23.0,397.0
OR-501,"Portland, Gresham/Multnomah County CoC",2020,4173.0,3784.0,389.0,123.0,1808.0,1511.0,1159.0,352.0,106.0,625.0,600.0,25.0,11.0,2136.0,1759.0,377.0,117.0,454.0,2037.0,2025.0,12.0,6.0,1354.0
OR-502,"Medford, Ashland/Jackson County CoC",2020,727.0,591.0,136.0,52.0,277.0,177.0,139.0,38.0,12.0,187.0,125.0,62.0,25.0,364.0,264.0,100.0,37.0,40.0,363.0,327.0,36.0,15.0,237.0
OR-503,Central Oregon CoC,2020,913.0,639.0,274.0,84.0,153.0,216.0,172.0,44.0,15.0,83.0,42.0,41.0,13.0,299.0,214.0,85.0,28.0,56.0,614.0,425.0,189.0,56.0,97.0
OR-504,"Salem/Marion, Polk Counties CoC",2020,624.0,603.0,21.0,4.0,45.0,401.0,384.0,17.0,3.0,223.0,219.0,4.0,1.0,624.0,603.0,21.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0
OR-505,Oregon Balance of State CoC,2020,5642.0,4304.0,1338.0,413.0,1045.0,842.0,670.0,172.0,53.0,504.0,365.0,139.0,48.0,1346.0,1035.0,311.0,101.0,172.0,4296.0,3269.0,1027.0,312.0,873.0
OR-506,"Hillsboro, Beaverton/Washington County CoC",2020,618.0,477.0,141.0,41.0,139.0,184.0,119.0,65.0,18.0,121.0,82.0,39.0,14.0,311.0,207.0,104.0,32.0,43.0,307.0,270.0,37.0,9.0,96.0
OR-507,Clackamas County CoC,2020,352.0,235.0,117.0,36.0,137.0,88.0,18.0,70.0,20.0,41.0,10.0,31.0,12.0,129.0,28.0,101.0,32.0,7.0,223.0,207.0,16.0,4.0,130.0
PA-500,Philadelphia CoC,2020,5634.0,3814.0,1820.0,612.0,1105.0,3650.0,2303.0,1347.0,434.0,758.0,285.0,473.0,178.0,4676.0,2856.0,1820.0,612.0,818.0,958.0,958.0,0.0,0.0,287.0
PA-501,Harrisburg/Dauphin County CoC,2020,402.0,265.0,137.0,48.0,39.0,238.0,161.0,77.0,26.0,99.0,41.0,58.0,21.0,356.0,221.0,135.0,47.0,24.0,46.0,44.0,2.0,1.0,15.0
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",2020,367.0,216.0,151.0,48.0,11.0,259.0,144.0,115.0,35.0,62.0,26.0,36.0,13.0,321.0,170.0,151.0,48.0,2.0,46.0,46.0,0.0,0.0,9.0
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",2020,181.0,87.0,94.0,32.0,3.0,85.0,51.0,34.0,10.0,88.0,28.0,60.0,22.0,173.0,79.0,94.0,32.0,2.0,8.0,8.0,0.0,0.0,1.0
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",2020,282.0,163.0,119.0,38.0,47.0,202.0,127.0,75.0,24.0,47.0,3.0,44.0,14.0,249.0,130.0,119.0,38.0,35.0,33.0,33.0,0.0,0.0,12.0
PA-505,Chester County CoC,2020,522.0,366.0,156.0,49.0,30.0,218.0,114.0,104.0,32.0,281.0,231.0,50.0,16.0,499.0,345.0,154.0,48.0,27.0,23.0,21.0,2.0,1.0,3.0
PA-506,Reading/Berks County CoC,2020,524.0,375.0,149.0,53.0,43.0,371.0,260.0,111.0,41.0,139.0,101.0,38.0,12.0,510.0,361.0,149.0,53.0,43.0,14.0,14.0,0.0,0.0,0.0
PA-508,Scranton/Lackawanna County CoC,2020,177.0,110.0,67.0,24.0,10.0,79.0,49.0,30.0,10.0,71.0,34.0,37.0,14.0,161.0,94.0,67.0,24.0,7.0,16.0,16.0,0.0,0.0,3.0
PA-509,Eastern Pennsylvania CoC,2020,2032.0,1147.0,885.0,266.0,115.0,1147.0,614.0,533.0,163.0,519.0,218.0,301.0,90.0,1666.0,832.0,834.0,253.0,63.0,366.0,315.0,51.0,13.0,52.0
PA-510,Lancaster City & County CoC,2020,461.0,306.0,155.0,50.0,3.0,209.0,131.0,78.0,25.0,232.0,155.0,77.0,25.0,441.0,286.0,155.0,50.0,1.0,20.0,20.0,0.0,0.0,2.0
PA-511,Bristol/Bensalem/Bucks County CoC,2020,333.0,137.0,196.0,67.0,33.0,149.0,89.0,60.0,22.0,154.0,18.0,136.0,45.0,303.0,107.0,196.0,67.0,20.0,30.0,30.0,0.0,0.0,13.0
PA-512,York City & County CoC,2020,370.0,200.0,170.0,50.0,14.0,239.0,161.0,78.0,25.0,73.0,11.0,62.0,17.0,312.0,172.0,140.0,42.0,9.0,58.0,28.0,30.0,8.0,5.0
PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,2020,887.0,619.0,268.0,76.0,177.0,575.0,327.0,248.0,72.0,141.0,121.0,20.0,4.0,724.0,456.0,268.0,76.0,131.0,163.0,163.0,0.0,0.0,46.0
PA-601,Western Pennsylvania CoC,2020,754.0,494.0,260.0,85.0,24.0,509.0,331.0,178.0,57.0,184.0,107.0,77.0,27.0,693.0,438.0,255.0,84.0,16.0,61.0,56.0,5.0,1.0,8.0
PA-603,Beaver County CoC,2020,101.0,33.0,68.0,19.0,6.0,59.0,11.0,48.0,13.0,33.0,16.0,17.0,5.0,92.0,27.0,65.0,18.0,0.0,9.0,6.0,3.0,1.0,6.0
PA-605,Erie City & County CoC,2020,348.0,253.0,95.0,33.0,29.0,255.0,184.0,71.0,22.0,77.0,53.0,24.0,11.0,342.0,247.0,95.0,33.0,27.0,6.0,6.0,0.0,0.0,2.0
PR-502,Puerto Rico Balance of Commonwealth CoC,2020,1299.0,1157.0,142.0,45.0,363.0,111.0,80.0,31.0,10.0,268.0,183.0,85.0,29.0,391.0,275.0,116.0,39.0,42.0,908.0,882.0,26.0,6.0,321.0
PR-503,South/Southeast Puerto Rico CoC,2020,1152.0,1094.0,58.0,17.0,293.0,119.0,111.0,8.0,3.0,38.0,32.0,6.0,2.0,160.0,146.0,14.0,5.0,53.0,992.0,948.0,44.0,12.0,240.0
RI-500,Rhode Island Statewide CoC,2020,1104.0,723.0,381.0,121.0,196.0,742.0,521.0,221.0,68.0,254.0,94.0,160.0,53.0,996.0,615.0,381.0,121.0,171.0,108.0,108.0,0.0,0.0,25.0
SC-500,Charleston/Low Country CoC,2020,433.0,370.0,63.0,22.0,69.0,174.0,129.0,45.0,16.0,103.0,96.0,7.0,2.0,280.0,228.0,52.0,18.0,24.0,153.0,142.0,11.0,4.0,45.0
SC-501,Greenville/Anderson/Spartanburg Upstate CoC,2020,1536.0,1220.0,316.0,101.0,336.0,858.0,679.0,179.0,52.0,169.0,94.0,75.0,29.0,1039.0,785.0,254.0,81.0,169.0,497.0,435.0,62.0,20.0,167.0
SC-502,Columbia/Midlands CoC,2020,1140.0,923.0,217.0,72.0,265.0,634.0,515.0,119.0,39.0,240.0,151.0,89.0,30.0,874.0,666.0,208.0,69.0,156.0,266.0,257.0,9.0,3.0,109.0
SC-503,Myrtle Beach/Sumter City & County CoC,2020,1178.0,919.0,259.0,84.0,149.0,161.0,118.0,43.0,21.0,229.0,178.0,51.0,21.0,390.0,296.0,94.0,42.0,13.0,788.0,623.0,165.0,42.0,136.0
SD-500,South Dakota Statewide CoC,2020,1058.0,743.0,315.0,93.0,119.0,751.0,459.0,292.0,87.0,61.0,54.0,7.0,2.0,812.0,513.0,299.0,89.0,79.0,246.0,230.0,16.0,4.0,40.0
TN-500,Chattanooga/Southeast Tennessee CoC,2020,648.0,468.0,180.0,63.0,147.0,307.0,214.0,93.0,33.0,17.0,8.0,9.0,2.0,324.0,222.0,102.0,35.0,60.0,324.0,246.0,78.0,28.0,87.0
TN-501,Memphis/Shelby County CoC,2020,1022.0,738.0,284.0,72.0,21.0,561.0,455.0,106.0,26.0,360.0,182.0,178.0,46.0,921.0,637.0,284.0,72.0,11.0,101.0,101.0,0.0,0.0,10.0
TN-502,Knoxville/Knox County CoC,2020,745.0,677.0,68.0,25.0,187.0,331.0,275.0,56.0,20.0,218.0,208.0,10.0,4.0,549.0,483.0,66.0,24.0,89.0,196.0,194.0,2.0,1.0,98.0
TN-503,Central Tennessee CoC,2020,517.0,302.0,215.0,67.0,16.0,149.0,80.0,69.0,24.0,240.0,96.0,144.0,42.0,389.0,176.0,213.0,66.0,9.0,128.0,126.0,2.0,1.0,7.0
TN-504,Nashville/Davidson County CoC,2020,2016.0,1831.0,185.0,55.0,527.0,1208.0,1054.0,154.0,43.0,219.0,191.0,28.0,11.0,1432.0,1250.0,182.0,54.0,190.0,584.0,581.0,3.0,1.0,337.0
TN-506,Oak Ridge/Upper Cumberland CoC,2020,332.0,254.0,78.0,25.0,0.0,223.0,157.0,66.0,22.0,16.0,16.0,0.0,0.0,239.0,173.0,66.0,22.0,0.0,93.0,81.0,12.0,3.0,0.0
TN-507,Jackson/West Tennessee CoC,2020,861.0,493.0,368.0,139.0,52.0,43.0,33.0,10.0,4.0,17.0,4.0,13.0,5.0,60.0,37.0,23.0,9.0,12.0,801.0,456.0,345.0,130.0,40.0
TN-509,Appalachian Regional CoC,2020,386.0,299.0,87.0,24.0,80.0,190.0,143.0,47.0,14.0,69.0,29.0,40.0,10.0,259.0,172.0,87.0,24.0,27.0,127.0,127.0,0.0,0.0,53.0
TN-510,Murfreesboro/Rutherford County CoC,2020,322.0,286.0,36.0,13.0,51.0,113.0,89.0,24.0,9.0,53.0,43.0,10.0,3.0,166.0,132.0,34.0,12.0,23.0,156.0,154.0,2.0,1.0,28.0
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",2020,407.0,325.0,82.0,25.0,11.0,116.0,69.0,47.0,13.0,17.0,9.0,8.0,4.0,133.0,78.0,55.0,17.0,0.0,274.0,247.0,27.0,8.0,11.0
TX-500,San Antonio/Bexar County CoC,2020,2932.0,2104.0,828.0,271.0,287.0,1371.0,722.0,649.0,210.0,287.0,112.0,175.0,59.0,1658.0,834.0,824.0,269.0,132.0,1274.0,1270.0,4.0,2.0,155.0
TX-503,Austin/Travis County CoC,2020,2506.0,2048.0,458.0,136.0,762.0,674.0,380.0,294.0,84.0,204.0,48.0,156.0,48.0,932.0,482.0,450.0,132.0,164.0,1574.0,1566.0,8.0,4.0,598.0
TX-600,Dallas City & County/Irving CoC,2020,4471.0,3560.0,911.0,284.0,487.0,1938.0,1418.0,520.0,157.0,864.0,481.0,383.0,125.0,2852.0,1949.0,903.0,282.0,308.0,1619.0,1611.0,8.0,2.0,179.0
TX-601,Fort Worth/Arlington/Tarrant County CoC,2020,2126.0,1601.0,525.0,154.0,241.0,1118.0,710.0,408.0,116.0,185.0,75.0,110.0,35.0,1323.0,805.0,518.0,151.0,138.0,803.0,796.0,7.0,3.0,103.0
TX-603,El Paso City & County CoC,2020,843.0,533.0,310.0,101.0,95.0,495.0,311.0,184.0,64.0,186.0,60.0,126.0,37.0,681.0,371.0,310.0,101.0,59.0,162.0,162.0,0.0,0.0,36.0
TX-604,Waco/McLennan County CoC,2020,234.0,143.0,91.0,30.0,29.0,88.0,60.0,28.0,8.0,70.0,7.0,63.0,22.0,158.0,67.0,91.0,30.0,7.0,76.0,76.0,0.0,0.0,22.0
TX-607,Texas Balance of State (BoS) CoC,2020,9198.0,7194.0,2004.0,588.0,1089.0,2811.0,1723.0,1088.0,337.0,622.0,180.0,442.0,135.0,3433.0,1903.0,1530.0,472.0,178.0,5765.0,5291.0,474.0,116.0,911.0
TX-611,Amarillo CoC,2020,600.0,578.0,22.0,8.0,64.0,275.0,261.0,14.0,5.0,128.0,120.0,8.0,3.0,403.0,381.0,22.0,8.0,24.0,197.0,197.0,0.0,0.0,40.0
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",2020,236.0,184.0,52.0,22.0,18.0,168.0,119.0,49.0,21.0,8.0,8.0,0.0,0.0,176.0,127.0,49.0,21.0,10.0,60.0,57.0,3.0,1.0,8.0
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",2020,3974.0,3087.0,887.0,310.0,780.0,1706.0,894.0,812.0,278.0,587.0,514.0,73.0,31.0,2318.0,1433.0,885.0,309.0,135.0,1656.0,1654.0,2.0,1.0,645.0
TX-701,Bryan/College Station/Brazos Valley CoC,2020,109.0,83.0,26.0,8.0,10.0,83.0,57.0,26.0,8.0,0.0,0.0,0.0,0.0,83.0,57.0,26.0,8.0,2.0,26.0,26.0,0.0,0.0,8.0
UT-500,Salt Lake City & County CoC,2020,1958.0,1324.0,634.0,186.0,419.0,1445.0,973.0,472.0,137.0,245.0,83.0,162.0,49.0,1690.0,1056.0,634.0,186.0,299.0,268.0,268.0,0.0,0.0,120.0
UT-503,Utah Balance of State CoC,2020,1006.0,700.0,306.0,91.0,178.0,553.0,361.0,192.0,58.0,107.0,13.0,94.0,26.0,660.0,374.0,286.0,84.0,85.0,346.0,326.0,20.0,7.0,93.0
UT-504,Provo/Mountainland CoC,2020,167.0,126.0,41.0,13.0,46.0,36.0,15.0,21.0,7.0,41.0,21.0,20.0,6.0,77.0,36.0,41.0,13.0,2.0,90.0,90.0,0.0,0.0,44.0
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",2020,546.0,435.0,111.0,39.0,130.0,342.0,243.0,99.0,35.0,33.0,23.0,10.0,3.0,416.0,307.0,109.0,38.0,105.0,130.0,128.0,2.0,1.0,25.0
VA-501,"Norfolk,Chesapeake,Suffolk/Isle of Wight, Southampton Counties CoC",2020,709.0,538.0,171.0,50.0,53.0,574.0,429.0,145.0,42.0,70.0,44.0,26.0,8.0,644.0,473.0,171.0,50.0,47.0,65.0,65.0,0.0,0.0,6.0
VA-502,Roanoke City & County/Salem CoC,2020,276.0,213.0,63.0,24.0,44.0,246.0,183.0,63.0,24.0,0.0,0.0,0.0,0.0,246.0,183.0,63.0,24.0,36.0,30.0,30.0,0.0,0.0,8.0
VA-503,Virginia Beach CoC,2020,319.0,234.0,85.0,25.0,51.0,174.0,129.0,45.0,14.0,51.0,11.0,40.0,11.0,225.0,140.0,85.0,25.0,39.0,94.0,94.0,0.0,0.0,12.0
VA-504,Charlottesville CoC,2020,188.0,154.0,34.0,8.0,46.0,149.0,128.0,21.0,5.0,13.0,0.0,13.0,3.0,162.0,128.0,34.0,8.0,30.0,26.0,26.0,0.0,0.0,16.0
VA-505,Newport News/Hampton/Virginia Peninsula CoC,2020,425.0,296.0,129.0,38.0,51.0,301.0,225.0,76.0,21.0,62.0,12.0,50.0,16.0,363.0,237.0,126.0,37.0,43.0,62.0,59.0,3.0,1.0,8.0
VA-507,Portsmouth CoC,2020,149.0,99.0,50.0,17.0,14.0,89.0,50.0,39.0,14.0,24.0,13.0,11.0,3.0,113.0,63.0,50.0,17.0,9.0,36.0,36.0,0.0,0.0,5.0
VA-508,Lynchburg CoC,2020,73.0,48.0,25.0,9.0,7.0,55.0,30.0,25.0,9.0,0.0,0.0,0.0,0.0,55.0,30.0,25.0,9.0,2.0,18.0,18.0,0.0,0.0,5.0
VA-513,"Harrisonburg, Winchester/Western Virginia CoC",2020,297.0,227.0,70.0,22.0,41.0,262.0,192.0,70.0,22.0,0.0,0.0,0.0,0.0,262.0,192.0,70.0,22.0,33.0,35.0,35.0,0.0,0.0,8.0
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",2020,207.0,128.0,79.0,21.0,18.0,183.0,104.0,79.0,21.0,0.0,0.0,0.0,0.0,183.0,104.0,79.0,21.0,12.0,24.0,24.0,0.0,0.0,6.0
VA-521,Virginia Balance of State (BoS) CoC,2020,816.0,471.0,345.0,105.0,28.0,528.0,305.0,223.0,68.0,132.0,33.0,99.0,31.0,660.0,338.0,322.0,99.0,12.0,156.0,133.0,23.0,6.0,16.0
VA-600,Arlington County CoC,2020,199.0,139.0,60.0,21.0,20.0,157.0,97.0,60.0,21.0,8.0,8.0,0.0,0.0,165.0,105.0,60.0,21.0,6.0,34.0,34.0,0.0,0.0,14.0
VA-601,Fairfax County CoC,2020,1041.0,513.0,528.0,161.0,174.0,763.0,401.0,362.0,103.0,190.0,24.0,166.0,58.0,953.0,425.0,528.0,161.0,115.0,88.0,88.0,0.0,0.0,59.0
VA-602,Loudoun County CoC,2020,179.0,129.0,50.0,16.0,21.0,107.0,72.0,35.0,11.0,15.0,0.0,15.0,5.0,122.0,72.0,50.0,16.0,10.0,57.0,57.0,0.0,0.0,11.0
VA-603,City of Alexandria CoC,2020,207.0,121.0,86.0,32.0,24.0,150.0,88.0,62.0,24.0,35.0,11.0,24.0,8.0,196.0,110.0,86.0,32.0,13.0,11.0,11.0,0.0,0.0,11.0
VA-604,Prince William County CoC,2020,326.0,214.0,112.0,33.0,53.0,189.0,106.0,83.0,26.0,35.0,6.0,29.0,7.0,224.0,112.0,112.0,33.0,25.0,102.0,102.0,0.0,0.0,28.0
VI-500,Virgin Islands CoC,2020,304.0,304.0,0.0,0.0,105.0,12.0,12.0,0.0,0.0,49.0,49.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,232.0,232.0,0.0,0.0,105.0
VT-500,Vermont Balance of State CoC,2020,849.0,535.0,314.0,102.0,115.0,696.0,403.0,293.0,94.0,84.0,70.0,14.0,6.0,780.0,473.0,307.0,100.0,96.0,69.0,62.0,7.0,2.0,19.0
VT-501,Burlington/Chittenden County CoC,2020,261.0,203.0,58.0,22.0,50.0,200.0,149.0,51.0,20.0,16.0,9.0,7.0,2.0,216.0,158.0,58.0,22.0,36.0,45.0,45.0,0.0,0.0,14.0
WA-500,Seattle/King County CoC,2020,11751.0,8008.0,3743.0,1190.0,2847.0,4085.0,2919.0,1166.0,378.0,2007.0,527.0,1480.0,495.0,6173.0,3527.0,2646.0,873.0,1289.0,5578.0,4481.0,1097.0,317.0,1558.0
WA-501,Washington Balance of State CoC,2020,5668.0,4063.0,1605.0,497.0,1367.0,2139.0,1490.0,649.0,196.0,937.0,400.0,537.0,167.0,3076.0,1890.0,1186.0,363.0,256.0,2592.0,2173.0,419.0,134.0,1111.0
WA-502,Spokane City & County CoC,2020,1559.0,1196.0,363.0,104.0,464.0,799.0,602.0,197.0,58.0,219.0,81.0,138.0,39.0,1018.0,683.0,335.0,97.0,197.0,541.0,513.0,28.0,7.0,267.0
WA-503,Tacoma/Lakewood/Pierce County CoC,2020,1897.0,1539.0,358.0,113.0,623.0,816.0,589.0,227.0,69.0,167.0,61.0,106.0,37.0,983.0,650.0,333.0,106.0,186.0,914.0,889.0,25.0,7.0,437.0
WA-504,Everett/Snohomish County CoC,2020,1132.0,848.0,284.0,92.0,452.0,426.0,258.0,168.0,55.0,33.0,33.0,0.0,0.0,459.0,291.0,168.0,55.0,79.0,673.0,557.0,116.0,37.0,373.0
WA-508,Vancouver/Clark County CoC,2020,916.0,544.0,372.0,120.0,190.0,268.0,170.0,98.0,25.0,132.0,57.0,75.0,29.0,400.0,227.0,173.0,54.0,70.0,516.0,317.0,199.0,66.0,120.0
WI-500,Wisconsin Balance of State CoC,2020,2708.0,1441.0,1267.0,389.0,291.0,1997.0,1148.0,849.0,270.0,580.0,182.0,398.0,113.0,2583.0,1336.0,1247.0,383.0,266.0,125.0,105.0,20.0,6.0,25.0
WI-501,Milwaukee City & County CoC,2020,970.0,735.0,235.0,65.0,73.0,704.0,513.0,191.0,52.0,134.0,90.0,44.0,13.0,883.0,648.0,235.0,65.0,63.0,87.0,87.0,0.0,0.0,10.0
WI-502,Racine City & County CoC,2020,207.0,149.0,58.0,22.0,14.0,150.0,111.0,39.0,14.0,46.0,27.0,19.0,8.0,196.0,138.0,58.0,22.0,12.0,11.0,11.0,0.0,0.0,2.0
WI-503,Madison/Dane County CoC,2020,630.0,352.0,278.0,82.0,106.0,396.0,220.0,176.0,53.0,133.0,31.0,102.0,29.0,529.0,251.0,278.0,82.0,63.0,101.0,101.0,0.0,0.0,43.0
WV-500,Wheeling/Weirton Area CoC,2020,129.0,111.0,18.0,5.0,20.0,83.0,83.0,0.0,0.0,31.0,13.0,18.0,5.0,114.0,96.0,18.0,5.0,18.0,15.0,15.0,0.0,0.0,2.0
WV-501,"Huntington/Cabell, Wayne Counties CoC",2020,194.0,166.0,28.0,9.0,4.0,142.0,114.0,28.0,9.0,0.0,0.0,0.0,0.0,148.0,120.0,28.0,9.0,3.0,46.0,46.0,0.0,0.0,1.0
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",2020,294.0,252.0,42.0,13.0,31.0,251.0,220.0,31.0,10.0,30.0,19.0,11.0,3.0,281.0,239.0,42.0,13.0,29.0,13.0,13.0,0.0,0.0,2.0
WV-508,West Virginia Balance of State CoC,2020,724.0,627.0,97.0,31.0,102.0,454.0,375.0,79.0,25.0,67.0,49.0,18.0,6.0,521.0,424.0,97.0,31.0,44.0,203.0,203.0,0.0,0.0,58.0
WY-500,Wyoming Statewide CoC,2020,612.0,427.0,185.0,50.0,81.0,349.0,233.0,116.0,26.0,140.0,77.0,63.0,22.0,489.0,310.0,179.0,48.0,24.0,123.0,117.0,6.0,2.0,57.0
AK-500,Anchorage CoC,2019,1111.0,799.0,312.0,89.0,79.0,802.0,632.0,170.0,49.0,212.0,70.0,142.0,40.0,1014.0,702.0,312.0,89.0,61.0,97.0,97.0,0.0,0.0,18.0
AK-501,Alaska Balance of State CoC,2019,796.0,585.0,211.0,72.0,152.0,416.0,306.0,110.0,40.0,204.0,110.0,94.0,29.0,620.0,416.0,204.0,69.0,73.0,176.0,169.0,7.0,3.0,79.0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2019,981.0,805.0,176.0,64.0,97.0,444.0,341.0,103.0,39.0,182.0,125.0,57.0,20.0,655.0,495.0,160.0,59.0,79.0,326.0,310.0,16.0,5.0,18.0
AL-501,Mobile City & County/Baldwin County CoC,2019,505.0,329.0,176.0,56.0,38.0,191.0,106.0,85.0,28.0,112.0,44.0,68.0,21.0,303.0,150.0,153.0,49.0,10.0,202.0,179.0,23.0,7.0,28.0
AL-502,Florence/Northwest Alabama CoC,2019,390.0,383.0,7.0,3.0,21.0,113.0,106.0,7.0,3.0,76.0,76.0,0.0,0.0,189.0,182.0,7.0,3.0,19.0,201.0,201.0,0.0,0.0,2.0
